2008;RO;;VOCÊ É A FAVOR | DA CRIAÇÃO DO MUNICÍPIO DE | EXTREMA DE RONDÔNIA?;SIM;SIM
2008;RO;ALTA FLORESTA DO OESTE;PREFEITO;PTN;DANIEL DEINA
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;DEM;ALVARO BUENO
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;PC do B;JARLEI BATISTA
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;PDT;MANOEL DA SAUDE
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;PMDB;LUIZ MAURO
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;PR;JEREMIAS DO MERCADO AMERICA
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;PR;NELSINHO DA 60
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;PSB;EDMAR BOLDT
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;PTB;TANUZIO DA FUNAI
2008;RO;ALTA FLORESTA DO OESTE;VEREADOR;PTN;ITAMAR SUCURI
2008;RO;ALTO ALEGRE DOS PARECIS;PREFEITO;PT;TON
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;DEM;NOÉ
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;PMDB;VALMIR MOTOTAXI
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;PR;DAIR BOONE
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;PR;NERIZÃO
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;PT;ELIZEU DO BOSCO
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;PT;JAILTON FERREIRA 'PETI'
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;PT;JERRY ADRIANI
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;PTN;OBADIAS
2008;RO;ALTO ALEGRE DOS PARECIS;VEREADOR;PTN;ZEZAO
2008;RO;ALTO PARAÍSO;PREFEITO;PMDB;DR. ROMEU
2008;RO;ALTO PARAÍSO;VEREADOR;DEM;CAICO DA VILA NOVA
2008;RO;ALTO PARAÍSO;VEREADOR;DEM;PROFESSORA DINALVA
2008;RO;ALTO PARAÍSO;VEREADOR;PDT;RAIMUNDO MARROCOS
2008;RO;ALTO PARAÍSO;VEREADOR;PHS;PIPI
2008;RO;ALTO PARAÍSO;VEREADOR;PMDB;MIGUELZIN
2008;RO;ALTO PARAÍSO;VEREADOR;PMDB;SILVIN DO JERICO
2008;RO;ALTO PARAÍSO;VEREADOR;PR;ZÉ CEARÁ
2008;RO;ALTO PARAÍSO;VEREADOR;PSL;FIÃO DO ÔNIBUS
2008;RO;ALTO PARAÍSO;VEREADOR;PV;BETA
2008;RO;ALVORADA DO OESTE;PREFEITO;PR;LAERTE GOMES
2008;RO;ALVORADA DO OESTE;VEREADOR;DEM;CIDA DA SEDUC
2008;RO;ALVORADA DO OESTE;VEREADOR;DEM;ORLANDO
2008;RO;ALVORADA DO OESTE;VEREADOR;PMDB;CAMARÃO DA SUCAM
2008;RO;ALVORADA DO OESTE;VEREADOR;PR;EDSON DA CIVIL
2008;RO;ALVORADA DO OESTE;VEREADOR;PSB;GERALDO DA VITÓRIA
2008;RO;ALVORADA DO OESTE;VEREADOR;PSB;IVONE DA ASSOCIAÇÃO
2008;RO;ALVORADA DO OESTE;VEREADOR;PT;JONACI
2008;RO;ALVORADA DO OESTE;VEREADOR;PT;MAX
2008;RO;ALVORADA DO OESTE;VEREADOR;PTB;NELCI VERDAN
2008;RO;ARIQUEMES;PREFEITO;PMDB;CONFUCIO
2008;RO;ARIQUEMES;VEREADOR;PDT;SAULO DA RENASCER
2008;RO;ARIQUEMES;VEREADOR;PMDB;CLOVIS DA FARMACIA
2008;RO;ARIQUEMES;VEREADOR;PMDB;PROFESSOR ENOQUE
2008;RO;ARIQUEMES;VEREADOR;PP;JOÃO LEITE
2008;RO;ARIQUEMES;VEREADOR;PPS;TIBERIO ROCHA
2008;RO;ARIQUEMES;VEREADOR;PRTB;ALEX REDANO
2008;RO;ARIQUEMES;VEREADOR;PSDB;ADAIR - ADAIR MOULAZ
2008;RO;ARIQUEMES;VEREADOR;PSL;ROSA
2008;RO;ARIQUEMES;VEREADOR;PT;VAL
2008;RO;ARIQUEMES;VEREADOR;PTC;VANILTON CRUZ
2008;RO;BURITIS;PREFEITO;PR;ELSON MONTES
2008;RO;BURITIS;VEREADOR;DEM;JUNIEL DO IDARON
2008;RO;BURITIS;VEREADOR;PMDB;WILSON LENZ
2008;RO;BURITIS;VEREADOR;PSDB;DIAMANTE NEGRO
2008;RO;BURITIS;VEREADOR;PSDB;ROBERTO
2008;RO;BURITIS;VEREADOR;PSDC;JACI DA 50
2008;RO;BURITIS;VEREADOR;PT;IDA FISCHER/FERA DO POVÃO
2008;RO;BURITIS;VEREADOR;PTB;ARTUR VELMER
2008;RO;BURITIS;VEREADOR;PTB;DRJULIO DO LABORATÓRIO CENTRAL
2008;RO;BURITIS;VEREADOR;PV;REINALDO DA AUTO ESCOLA
2008;RO;CABIXI;PREFEITO;PR;BAU
2008;RO;CABIXI;PREFEITO;PTB;IZAEL
2008;RO;CABIXI;VEREADOR;PMDB;KELEM
2008;RO;CABIXI;VEREADOR;PPS;CHICO MAMÃO
2008;RO;CABIXI;VEREADOR;PPS;GALERA
2008;RO;CABIXI;VEREADOR;PPS;ZE AILTON DA ASSEMBLEIA
2008;RO;CABIXI;VEREADOR;PR;APARECIDO OLIVEIRA FELTRIM
2008;RO;CABIXI;VEREADOR;PR;MOACIR PEZUDO
2008;RO;CABIXI;VEREADOR;PSDC;OSMAR OGRODOVCZYK
2008;RO;CABIXI;VEREADOR;PT;GREGORIO
2008;RO;CACAULÂNDIA;PREFEITO;DEM;EDIR ALQUIERI
2008;RO;CACAULÂNDIA;VEREADOR;PP;AMÉLIA ASSISTENTE SOCIAL
2008;RO;CACAULÂNDIA;VEREADOR;PPS;ANA MARIA  FOLLADOR
2008;RO;CACAULÂNDIA;VEREADOR;PPS;GENE FALCÃO
2008;RO;CACAULÂNDIA;VEREADOR;PSB;POLACO
2008;RO;CACAULÂNDIA;VEREADOR;PSDC;ZEZINHO DA EMATER
2008;RO;CACAULÂNDIA;VEREADOR;PT;PAULA DO PT
2008;RO;CACAULÂNDIA;VEREADOR;PTN;ELIO CESAR
2008;RO;CACAULÂNDIA;VEREADOR;PTN;ISMAEL
2008;RO;CACAULÂNDIA;VEREADOR;PV;JURACI DO UNIBUS
2008;RO;CACOAL;PREFEITO;PT;PADRE FRANCO
2008;RO;CACOAL;VEREADOR;PMDB;LURDES KEMPER
2008;RO;CACOAL;VEREADOR;PMDB;PENHA SIMÃO
2008;RO;CACOAL;VEREADOR;PMDB;URY
2008;RO;CACOAL;VEREADOR;PP;VAL DA RONDONIA VEÍCULOS
2008;RO;CACOAL;VEREADOR;PPS;ZEBIN BRIZON
2008;RO;CACOAL;VEREADOR;PT;TONINHO MASIOLI
2008;RO;CACOAL;VEREADOR;PTB;FERNANDO VEÍCULOS
2008;RO;CACOAL;VEREADOR;PTB;KATATAL
2008;RO;CACOAL;VEREADOR;PV;CEZAR CASTRO
2008;RO;CACOAL;VEREADOR;PV;CORAZINHO
2008;RO;CAMPO NOVO DE RONDÔNIA;PREFEITO;PPS;MARQUINHO
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;DEM;JUNIOR DA C-06
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;PDT;MARCIO ROZANO
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;PPS;GERSON DA OFICINA
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;PPS;TADEU DA ASPRORIOS
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;PPS;VALDECY DA 421
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;PR;NIVALDO ROSA
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;PR;VIVALDO
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;PT;TALLES DO PT
2008;RO;CAMPO NOVO DE RONDÔNIA;VEREADOR;PT;VAL
2008;RO;CANDEIAS DO JAMARI;PREFEITO;PV;DINHO
2008;RO;CANDEIAS DO JAMARI;VEREADOR;PDT;GENTIL DA LINDAGUA
2008;RO;CANDEIAS DO JAMARI;VEREADOR;PMDB;DR. GIULIANO
