2008;SP;;VOCÊ É A FAVOR DA | ALTERAÇÃO DO NOME | DA CIDADE DE "EMBU" | PARA "EMBU DAS ARTES"?;SIM;SIM
2008;SP;ADAMANTINA;PREFEITO;DEM;KIKO MICHELONI
2008;SP;ADAMANTINA;VEREADOR;DEM;DINHA
2008;SP;ADAMANTINA;VEREADOR;PPS;SILVINHO FRIZÃO
2008;SP;ADAMANTINA;VEREADOR;PSDB;DEDÉ TUBAINA
2008;SP;ADAMANTINA;VEREADOR;PSDB;EDUARDO FIORILLO
2008;SP;ADAMANTINA;VEREADOR;PSDB;GALVÃO
2008;SP;ADAMANTINA;VEREADOR;PSDB;ISRAEL
2008;SP;ADAMANTINA;VEREADOR;PT;CLEUSA DA PASTORAL
2008;SP;ADAMANTINA;VEREADOR;PT;FABIÃO
2008;SP;ADAMANTINA;VEREADOR;PV;RUDIMAR
2008;SP;ADOLFO;PREFEITO;PP;JOÃO BOCA
2008;SP;ADOLFO;VEREADOR;DEM;NINICO
2008;SP;ADOLFO;VEREADOR;PDT;CHEM
2008;SP;ADOLFO;VEREADOR;PMDB;PROFESSOR ZE ROSA
2008;SP;ADOLFO;VEREADOR;PP;BINHA
2008;SP;ADOLFO;VEREADOR;PP;CLAUDOMIRO
2008;SP;ADOLFO;VEREADOR;PPS;ARLINDO DO POSTO
2008;SP;ADOLFO;VEREADOR;PRB;SUELI DO NEI
2008;SP;ADOLFO;VEREADOR;PT;NEGO
2008;SP;ADOLFO;VEREADOR;PT;TAIRZINHO
2008;SP;AGUAÍ;PREFEITO;PPS;DR. GUTEMBERG
2008;SP;AGUAÍ;PREFEITO;PSDB;LOBO
2008;SP;AGUAÍ;VEREADOR;PDT;ZÉ LAZARO
2008;SP;AGUAÍ;VEREADOR;PMDB;BILL BIAZZO
2008;SP;AGUAÍ;VEREADOR;PMDB;DR ADALBERTO
2008;SP;AGUAÍ;VEREADOR;PPS;AMAURI DO BANCO DO BRASIL
2008;SP;AGUAÍ;VEREADOR;PSDB;CESINHA
2008;SP;AGUAÍ;VEREADOR;PSDB;DR. LUIZ MILANEZ
2008;SP;AGUAÍ;VEREADOR;PSDB;MARRERA
2008;SP;AGUAÍ;VEREADOR;PTB;AGUINALDO MARIANO
2008;SP;AGUAÍ;VEREADOR;PTB;THIAGO
2008;SP;AGUDOS;PREFEITO;PMDB;EVERTON OCTAVIANI
2008;SP;AGUDOS;VEREADOR;PMDB;AURO OCTAVIANI
2008;SP;AGUDOS;VEREADOR;PMDB;GLAUCO BATATA
2008;SP;AGUDOS;VEREADOR;PMDB;TATA
2008;SP;AGUDOS;VEREADOR;PP;CICERO PERNAMBUCO
2008;SP;AGUDOS;VEREADOR;PP;JOSÉ OTAVIANO DELAZARI
2008;SP;AGUDOS;VEREADOR;PP;NELSON AYUB
2008;SP;AGUDOS;VEREADOR;PPS;NEUSA DANTAS
2008;SP;AGUDOS;VEREADOR;PR;LUCIANO DURÃES
2008;SP;AGUDOS;VEREADOR;PT;KUCÃO
2008;SP;ALAMBARI;PREFEITO;PV;SANDRO
2008;SP;ALAMBARI;VEREADOR;DEM;BRANCO
2008;SP;ALAMBARI;VEREADOR;DEM;PEDRINHO DO CERRADO
2008;SP;ALAMBARI;VEREADOR;PSDB;EDINELSON LEME
2008;SP;ALAMBARI;VEREADOR;PSDB;HELIO GOMES
2008;SP;ALAMBARI;VEREADOR;PSDB;LUZIA MACHADO
2008;SP;ALAMBARI;VEREADOR;PTB;JAPONES
2008;SP;ALAMBARI;VEREADOR;PV;JOÃO LAMBARI
2008;SP;ALAMBARI;VEREADOR;PV;POLACO
2008;SP;ALAMBARI;VEREADOR;PV;ZÉ GRAÇA
2008;SP;ALFREDO MARCONDES;PREFEITO;PP;CELSO PIRANI
2008;SP;ALFREDO MARCONDES;VEREADOR;PDT;FELICIO
2008;SP;ALFREDO MARCONDES;VEREADOR;PDT;XIRÚ
2008;SP;ALFREDO MARCONDES;VEREADOR;PP;ARISTEU BRAIANI
2008;SP;ALFREDO MARCONDES;VEREADOR;PP;GERALDO PINHO
2008;SP;ALFREDO MARCONDES;VEREADOR;PP;MARELO
2008;SP;ALFREDO MARCONDES;VEREADOR;PSDB;CARNEIRO - CARNEIRINHO
2008;SP;ALFREDO MARCONDES;VEREADOR;PT;WALDOMIRO DE ASSIS
2008;SP;ALFREDO MARCONDES;VEREADOR;PTB;COBRINHA
2008;SP;ALFREDO MARCONDES;VEREADOR;PTB;NARCISO ROCHA
2008;SP;ALTAIR;PREFEITO;PDT;ZÉ BRAZ
2008;SP;ALTAIR;VEREADOR;PDT;CIDINHO
2008;SP;ALTAIR;VEREADOR;PMDB;FERREIRA
2008;SP;ALTAIR;VEREADOR;PPS;NEGO
2008;SP;ALTAIR;VEREADOR;PR;VANINHA
2008;SP;ALTAIR;VEREADOR;PSB;CARLINHOS DA AUTO-ELÉTRICA
2008;SP;ALTAIR;VEREADOR;PSB;VAGUINHO
2008;SP;ALTAIR;VEREADOR;PT;AGNALDO DO POSTO
2008;SP;ALTAIR;VEREADOR;PT;DIDI
2008;SP;ALTAIR;VEREADOR;PT;DOIDINHO
2008;SP;ALTINÓPOLIS;PREFEITO;PMDB;NANÃO
2008;SP;ALTINÓPOLIS;VEREADOR;DEM;ZÉ CARLOS CRISTINO
2008;SP;ALTINÓPOLIS;VEREADOR;PDT;GARRINCHA
2008;SP;ALTINÓPOLIS;VEREADOR;PDT;VALDIR DA GELADEIRA
2008;SP;ALTINÓPOLIS;VEREADOR;PMDB;ZÉ FRAGA
2008;SP;ALTINÓPOLIS;VEREADOR;PPS;JÔ DENTISTA
2008;SP;ALTINÓPOLIS;VEREADOR;PSB;DR. FAUSTO
2008;SP;ALTINÓPOLIS;VEREADOR;PSDB;CARLÃO DU SOM
2008;SP;ALTINÓPOLIS;VEREADOR;PSDB;PROFESSOR ROBERVAL
2008;SP;ALTINÓPOLIS;VEREADOR;PTB;RUAN CABELEIREIRO
2008;SP;ALTO ALEGRE;PREFEITO;DEM;PIAZZA
2008;SP;ALTO ALEGRE;VEREADOR;DEM;GRANJA
2008;SP;ALTO ALEGRE;VEREADOR;DEM;LUIZ GREGO
2008;SP;ALTO ALEGRE;VEREADOR;DEM;MÃO
2008;SP;ALTO ALEGRE;VEREADOR;DEM;ROBISON
2008;SP;ALTO ALEGRE;VEREADOR;PP;ZÉ DO TOTÓ
2008;SP;ALTO ALEGRE;VEREADOR;PSDB;VALDIRZINHO
2008;SP;ALTO ALEGRE;VEREADOR;PV;JOÃO PAULO
2008;SP;ALTO ALEGRE;VEREADOR;PV;LEANDRO
2008;SP;ALTO ALEGRE;VEREADOR;PV;PROFESSORA ELCI
2008;SP;ALUMÍNIO;PREFEITO;PMDB;DRº JACOB
2008;SP;ALUMÍNIO;VEREADOR;DEM;AUGUSTO CANTO
2008;SP;ALUMÍNIO;VEREADOR;PMDB;ABIMAEL / TATU
2008;SP;ALUMÍNIO;VEREADOR;PMDB;RIVERA
2008;SP;ALUMÍNIO;VEREADOR;PP;EDUARDO BOSCO
2008;SP;ALUMÍNIO;VEREADOR;PSB;EDUARDO DA DELEGACIA
2008;SP;ALUMÍNIO;VEREADOR;PSDB;GERALDO ATLETA
2008;SP;ALUMÍNIO;VEREADOR;PTB;JAIME
2008;SP;ALUMÍNIO;VEREADOR;PTB;RAIMUNDO AZEVEDO
2008;SP;ALUMÍNIO;VEREADOR;PV;DR ALEXANDRE
2008;SP;ALVINLÂNDIA;PREFEITO;PP;ELIZEU
2008;SP;ALVINLÂNDIA;VEREADOR;DEM;ALCIDES BUBA
2008;SP;ALVINLÂNDIA;VEREADOR;PDT;EDERLEY
2008;SP;ALVINLÂNDIA;VEREADOR;PMDB;RENATO
2008;SP;ALVINLÂNDIA;VEREADOR;PP;NEIZÃO
2008;SP;ALVINLÂNDIA;VEREADOR;PP;NÉIA
2008;SP;ALVINLÂNDIA;VEREADOR;PR;MAGUINHO
2008;SP;ALVINLÂNDIA;VEREADOR;PSB;ZÉ ULTRAMARI
2008;SP;ALVINLÂNDIA;VEREADOR;PSDB;VALDEMAR
2008;SP;ALVINLÂNDIA;VEREADOR;PV;CÉLIÃO HORÁCIO
2008;SP;AMERICANA;PREFEITO;PSDB;DIEGO DE NADAI
2008;SP;AMERICANA;VEREADOR;DEM;OSWALDO NOGUEIRA
2008;SP;AMERICANA;VEREADOR;PDT;DIVINA BERTALIA
2008;SP;AMERICANA;VEREADOR;PDT;KIM
2008;SP;AMERICANA;VEREADOR;PMDB;CHICONI
2008;SP;AMERICANA;VEREADOR;PP;CAPITÃO CRIVELARI
2008;SP;AMERICANA;VEREADOR;PPS;LEONORA DO POSTINHO
2008;SP;AMERICANA;VEREADOR;PSC;PAULO CHOCOLATE
2008;SP;AMERICANA;VEREADOR;PSDB;CAUE MACRIS
2008;SP;AMERICANA;VEREADOR;PSDB;LUCIANO CORREA
2008;SP;AMERICANA;VEREADOR;PSDB;SACILOTTO
2008;SP;AMERICANA;VEREADOR;PT;CELSO ZOPPI
2008;SP;AMERICANA;VEREADOR;PT;LEAL FOTOGRAFO
2008;SP;AMERICANA;VEREADOR;PV;ODAIR DIAS
2008;SP;AMPARO;PREFEITO;PT;PAULO MIOTTA
2008;SP;AMPARO;VEREADOR;DEM;DR TADEU
2008;SP;AMPARO;VEREADOR;PDT;CATANESE
2008;SP;AMPARO;VEREADOR;PMDB;CELSO MANZOLLI
2008;SP;AMPARO;VEREADOR;PPS;MARIO ANCONA
2008;SP;AMPARO;VEREADOR;PSDC;CARLOS ALBERTO DA RADIO
2008;SP;AMPARO;VEREADOR;PT;CARNIER
2008;SP;AMPARO;VEREADOR;PT;DONISETE URBANO
2008;SP;AMPARO;VEREADOR;PT;PROFESSOR HERCULANO
2008;SP;AMPARO;VEREADOR;PTB;RAUL DA FARMÁCIA
2008;SP;AMPARO;VEREADOR;PV;DAIA
2008;SP;AMÉRICO BRASILIENSE;PREFEITO;PT;ADEMIR GOUVEA
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;DEM;CIDÃO DA FONTERI
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;DEM;TRAJANO
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;PDT;DIRCEU PANO
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;PMDB;MARLI PAVÃO
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;PP;CHIQUINHO NEVES
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;PPS;ZÉ DA AUTO ESCOLA
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;PT;JONI
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;PTB;DRA. EDNA
2008;SP;AMÉRICO BRASILIENSE;VEREADOR;PTB;JOTA DONIZETE
2008;SP;AMÉRICO DE CAMPOS;PREFEITO;PR;CESAR GIL
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PDT;ROSINHA MIRON
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PMDB;FEIO
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PMDB;GUEDINHO
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PMDB;NELSINA
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PMDB;SILESIA DO POSTO
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PMDB;ZE CACAU
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PR;DELAIR
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PR;ZE MOLINHA
2008;SP;AMÉRICO DE CAMPOS;VEREADOR;PSDB;FIOTE
2008;SP;ANALÂNDIA;PREFEITO;DEM;LUIZINHO
2008;SP;ANALÂNDIA;VEREADOR;DEM;BUENO
2008;SP;ANALÂNDIA;VEREADOR;DEM;LEANDRO SANTARPIO
2008;SP;ANALÂNDIA;VEREADOR;DEM;NANDO
2008;SP;ANALÂNDIA;VEREADOR;DEM;PIÇOCA
2008;SP;ANALÂNDIA;VEREADOR;PMDB;ADRIANO BEZERRA
2008;SP;ANALÂNDIA;VEREADOR;PMDB;RODRIGO BALERINI
2008;SP;ANALÂNDIA;VEREADOR;PP;TONINHO CAVALCANTE
2008;SP;ANALÂNDIA;VEREADOR;PPS;CAQUI
2008;SP;ANALÂNDIA;VEREADOR;PSDB;NALIN
2008;SP;ANDRADINA;PREFEITO;PT;JAMIL ONO
2008;SP;ANDRADINA;VEREADOR;DEM;EDGAR
2008;SP;ANDRADINA;VEREADOR;PDT;SILAS CARLOS
2008;SP;ANDRADINA;VEREADOR;PP;PROFESSORA FÁTIMA
2008;SP;ANDRADINA;VEREADOR;PPS;DR PAULO ASSIS
2008;SP;ANDRADINA;VEREADOR;PPS;ERNESTO JR
2008;SP;ANDRADINA;VEREADOR;PSDB;CÉLIA DA STILLUS
2008;SP;ANDRADINA;VEREADOR;PSDC;BIDI
2008;SP;ANDRADINA;VEREADOR;PSL;CRISTIANO RODRIGUES
2008;SP;ANDRADINA;VEREADOR;PT;BOSSOLAN
2008;SP;ANDRADINA;VEREADOR;PT;MAKOTO IZUMI
2008;SP;ANGATUBA;PREFEITO;PSDB;CALÁ
2008;SP;ANGATUBA;VEREADOR;PMDB;BIGA
2008;SP;ANGATUBA;VEREADOR;PMDB;JAIRO MEIRA
2008;SP;ANGATUBA;VEREADOR;PPS;PURURUCA
2008;SP;ANGATUBA;VEREADOR;PPS;RENATO GOMES
2008;SP;ANGATUBA;VEREADOR;PSB;JAIR AURELIANO
2008;SP;ANGATUBA;VEREADOR;PSC;AFONSINHO DO FÓRUM
2008;SP;ANGATUBA;VEREADOR;PSDB;GUSTAVO TURELLI
2008;SP;ANGATUBA;VEREADOR;PSDB;JOÃO LUIZ MEIRA
2008;SP;ANGATUBA;VEREADOR;PSDB;PIO
2008;SP;ANHEMBI;PREFEITO;PMDB;RUY
2008;SP;ANHEMBI;VEREADOR;PDT;BIA
2008;SP;ANHEMBI;VEREADOR;PMDB;SOLENE
2008;SP;ANHEMBI;VEREADOR;PP;MOTINHA
2008;SP;ANHEMBI;VEREADOR;PPS;EDIVALDO DA PREFEITURA
2008;SP;ANHEMBI;VEREADOR;PR;PRISCILA JACOB
2008;SP;ANHEMBI;VEREADOR;PSC;MIGUEL DA OFICINA
2008;SP;ANHEMBI;VEREADOR;PSDB;RODRIGO POMBA
2008;SP;ANHEMBI;VEREADOR;PTB;MILTON ABUD
2008;SP;ANHEMBI;VEREADOR;PTB;RÉ
2008;SP;ANHUMAS;PREFEITO;PTB;ADAILTON
2008;SP;ANHUMAS;VEREADOR;DEM;ILTON - IRTU
2008;SP;ANHUMAS;VEREADOR;PMDB;GISELE DE CÁPUA
2008;SP;ANHUMAS;VEREADOR;PP;BARRETA - MAURICINHO-MAURICIO
2008;SP;ANHUMAS;VEREADOR;PR;ZÉ VENANCIO
2008;SP;ANHUMAS;VEREADOR;PSB;ITO CABELEREIRO
2008;SP;ANHUMAS;VEREADOR;PSDB;ZE LUIS - ZÉ BATATA
2008;SP;ANHUMAS;VEREADOR;PT;LUIZ CARLOS CELESTE
2008;SP;ANHUMAS;VEREADOR;PTB;PAÇOCA
2008;SP;ANHUMAS;VEREADOR;PTB;SERGIO DA AMBULANCIA
2008;SP;APARECIDA;PREFEITO;PSDB;MARCIO SIQUEIRA
2008;SP;APARECIDA;VEREADOR;DEM;CIDA CASTRO
2008;SP;APARECIDA;VEREADOR;DEM;PAULINHO DA RENOVAÇÃO
2008;SP;APARECIDA;VEREADOR;DEM;WADÊ
2008;SP;APARECIDA;VEREADOR;PPS;ADVAL
2008;SP;APARECIDA;VEREADOR;PR;PAULINHO FEROZ
2008;SP;APARECIDA;VEREADOR;PSB;HARLEI DINIZ
2008;SP;APARECIDA;VEREADOR;PSDB;ADILSON BOI NA BRASA
2008;SP;APARECIDA;VEREADOR;PSDB;TEREZA GOMES
2008;SP;APARECIDA;VEREADOR;PTB;ELCINHO
2008;SP;APARECIDA D'OESTE;PREFEITO;PTB;DR JOSE
2008;SP;APARECIDA D'OESTE;VEREADOR;DEM;IZAIAS
2008;SP;APARECIDA D'OESTE;VEREADOR;PSB;BISCOITO
2008;SP;APARECIDA D'OESTE;VEREADOR;PSB;PROFESSOR GILBERTO
2008;SP;APARECIDA D'OESTE;VEREADOR;PSC;ADÃO
2008;SP;APARECIDA D'OESTE;VEREADOR;PSL;OTO
2008;SP;APARECIDA D'OESTE;VEREADOR;PTB;DEMA ROSSI
2008;SP;APARECIDA D'OESTE;VEREADOR;PTB;ESPANHOL
2008;SP;APARECIDA D'OESTE;VEREADOR;PTB;FIO
2008;SP;APARECIDA D'OESTE;VEREADOR;PTB;ZE MENDES
2008;SP;APIAÍ;PREFEITO;DEM;DR.EMILSON
2008;SP;APIAÍ;VEREADOR;DEM;GERALDO DA PADARIA
2008;SP;APIAÍ;VEREADOR;PC do B;CELIO
2008;SP;APIAÍ;VEREADOR;PC do B;NEGUINHO DAS QUEIMADAS
2008;SP;APIAÍ;VEREADOR;PC do B;RONALDO RODRIGUES
2008;SP;APIAÍ;VEREADOR;PDT;JORGE PINGAS
2008;SP;APIAÍ;VEREADOR;PMDB;LEON
2008;SP;APIAÍ;VEREADOR;PMDB;VANDERLEI
2008;SP;APIAÍ;VEREADOR;PR;MARCO CHIODI
2008;SP;APIAÍ;VEREADOR;PTB;ZÉ CLAUDIO DA SAÚDE
2008;SP;ARAMINA;PREFEITO;PPS;MARCOS ROSIN
2008;SP;ARAMINA;VEREADOR;PP;TONICO PIERAZZO
2008;SP;ARAMINA;VEREADOR;PPS;BRANCO
2008;SP;ARAMINA;VEREADOR;PPS;MARCÃO DO BAR
2008;SP;ARAMINA;VEREADOR;PR;EDSON ARANTES
2008;SP;ARAMINA;VEREADOR;PR;NELSON DO BREJÃO
2008;SP;ARAMINA;VEREADOR;PSDB;DALVINHA DENTISTA
2008;SP;ARAMINA;VEREADOR;PSDB;SAULO
2008;SP;ARAMINA;VEREADOR;PSDC;RUBENS FONTANA
2008;SP;ARAMINA;VEREADOR;PT;PAULA DO FUNDO SOCIAL
2008;SP;ARANDU;PREFEITO;PTB;PAULO CIDOCA
2008;SP;ARANDU;VEREADOR;DEM;DJALMA
2008;SP;ARANDU;VEREADOR;PDT;MARCIO MOURA
2008;SP;ARANDU;VEREADOR;PDT;PEDRO DA JASCO
2008;SP;ARANDU;VEREADOR;PPS;RICARDO TURCO
2008;SP;ARANDU;VEREADOR;PR;CELIO GRACIANO
2008;SP;ARANDU;VEREADOR;PT do B;CARLINHO DO BANCO
2008;SP;ARANDU;VEREADOR;PT do B;WILSINHO
2008;SP;ARANDU;VEREADOR;PTB;LUCÉLIA TARTAGLIA
2008;SP;ARANDU;VEREADOR;PTB;MANÉZINHO
2008;SP;ARAPEÍ;PREFEITO;PPS;EDSON
2008;SP;ARAPEÍ;VEREADOR;DEM;CARLINHO PINTINHO
2008;SP;ARAPEÍ;VEREADOR;DEM;DIRCEU FONSECA
2008;SP;ARAPEÍ;VEREADOR;DEM;TIM
2008;SP;ARAPEÍ;VEREADOR;PMDB;CHIQUINHO
2008;SP;ARAPEÍ;VEREADOR;PMDB;JACO
2008;SP;ARAPEÍ;VEREADOR;PMDB;PAULINHO BARATA
2008;SP;ARAPEÍ;VEREADOR;PT;CLAUDEMIR - MI
2008;SP;ARAPEÍ;VEREADOR;PT;JACARÉ
2008;SP;ARAPEÍ;VEREADOR;PTB;NANÁ
2008;SP;ARARAQUARA;PREFEITO;PMDB;MARCELO BARBIERI
2008;SP;ARARAQUARA;VEREADOR;DEM;NAPELOSO
2008;SP;ARARAQUARA;VEREADOR;PMDB;BOI CABELEIREIRO
2008;SP;ARARAQUARA;VEREADOR;PMDB;ELIAS CHEDIEK
2008;SP;ARARAQUARA;VEREADOR;PMDB;SERGINHO
2008;SP;ARARAQUARA;VEREADOR;PP;JULIANA DAMUS
2008;SP;ARARAQUARA;VEREADOR;PP;PORSANI-JOSE CARLOS PORSANI-
2008;SP;ARARAQUARA;VEREADOR;PR;PAULO MARANATA
2008;SP;ARARAQUARA;VEREADOR;PRB;JOÃO FARIAS
2008;SP;ARARAQUARA;VEREADOR;PSDB;TENENTE SANTANA
2008;SP;ARARAQUARA;VEREADOR;PT;EDIO LOPES
2008;SP;ARARAQUARA;VEREADOR;PT;MARCIA LIA
2008;SP;ARARAQUARA;VEREADOR;PT;NASCIMENTO
2008;SP;ARARAQUARA;VEREADOR;PV;DR LAPENA
2008;SP;ARARAS;PREFEITO;DEM;PEDRINHO ELISEU
2008;SP;ARARAS;PREFEITO;PT;DR. BRAMBILLA
2008;SP;ARARAS;VEREADOR;DEM;DERCI TOFOLO
2008;SP;ARARAS;VEREADOR;DEM;MAGDA ENFERMEIRA
2008;SP;ARARAS;VEREADOR;PMDB;MARCELO FACHINI
2008;SP;ARARAS;VEREADOR;PMDB;MARRETO
2008;SP;ARARAS;VEREADOR;PP;DR. EDUARDO MORAES DA PROMOÇÃO
2008;SP;ARARAS;VEREADOR;PR;DR. NELSON SALOMÉ
2008;SP;ARARAS;VEREADOR;PSB;ERINSON MERCATELLI
2008;SP;ARARAS;VEREADOR;PSDC;CARLINHO JACOVETI
2008;SP;ARARAS;VEREADOR;PT;BRENO
2008;SP;ARARAS;VEREADOR;PT;PROF° LÉO
2008;SP;ARAÇARIGUAMA;PREFEITO;PSDB;ROQUE DA REFLET
2008;SP;ARAÇARIGUAMA;VEREADOR;DEM;ALTAIR DA VIDRAÇARIA
2008;SP;ARAÇARIGUAMA;VEREADOR;DEM;MILTON BORRACHEIRO
2008;SP;ARAÇARIGUAMA;VEREADOR;PMDB;TIO MAURO
2008;SP;ARAÇARIGUAMA;VEREADOR;PPS;MOISÉS MAGUILA
2008;SP;ARAÇARIGUAMA;VEREADOR;PR;LILI AIMAR
2008;SP;ARAÇARIGUAMA;VEREADOR;PSDB;CARLOS DO SANTA ELLA
