1994;11;PPR;PARTIDO PROGRESSISTA REFORMADOR
1994;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA
1994;13;PT;PARTIDO DOS TRABALHADORES
1994;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
1994;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO
1994;17;PTRB;PARTIDO TRABALHISTA RENOVADOR BRASILEIRO
1994;20;PSC;PARTIDO SOCIAL CRISTAO
1994;22;PL;PARTIDO LIBERAL
1994;23;PPS;PARTIDO POPULAR SOCIALISTA
1994;25;PFL;PARTIDO DA FRENTE LIBERAL
1994;33;PMN;PARTIDO DA MOBILIZACAO NACIONAL
1994;36;PRN;PARTIDO DA RECONSTRUCAO NACIONAL
1994;39;PP;PARTIDO PROGRESSISTA
1994;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
1994;41;PSD;PARTIDO SOCIAL DEMOCRATICO
1994;43;PV;PARTIDO VERDE
1994;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
1994;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
1994;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL
1994;65;PC do B;PARTIDO COMUNISTA DO BRASIL
1998;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO
1998;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
1998;13;PT;PARTIDO DOS TRABALHADORES
1998;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
1998;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
1998;17;PSL;PARTIDO SOCIAL LIBERAL
1998;18;PST;PARTIDO SOCIAL TRABALHISTA
1998;20;PSC;PARTIDO SOCIAL CRISTÃO
1998;22;PL;PARTIDO LIBERAL
1998;23;PPS;PARTIDO POPULAR SOCIALISTA
1998;25;PFL;PARTIDO DA FRENTE LIBERAL
1998;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
1998;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
1998;31;PSN;PARTIDO DA SOLIDARIEDADE NACIONAL
1998;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
1998;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
1998;41;PSD;PARTIDO SOCIAL DEMOCRÁTICO
1998;43;PV;PARTIDO VERDE
1998;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
1998;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
1998;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL
1998;65;PC do B;PARTIDO COMUNISTA DO BRASIL
1998;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
2000;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO
2000;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
2000;13;PT;PARTIDO DOS TRABALHADORES
2000;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
2000;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
2000;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
2000;17;PSL;PARTIDO SOCIAL LIBERAL
2000;18;PST;PARTIDO SOCIAL TRABALHISTA
2000;19;PTN;PARTIDO TRABALHISTA NACIONAL
2000;20;PSC;PARTIDO SOCIAL CRISTÃO
2000;21;PCB;PARTIDO COMUNISTA BRASILEIRO
2000;22;PL;PARTIDO LIBERAL
2000;23;PPS;PARTIDO POPULAR SOCIALISTA
2000;25;PFL;PARTIDO DA FRENTE LIBERAL
2000;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO
2000;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
2000;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
2000;30;PGT;PARTIDO GERAL DOS TRABALHADORES
2000;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE
2000;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
2000;36;PRN;PARTIDO DA RECONSTRUÇÃO NACIONAL
2000;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
2000;41;PSD;PARTIDO SOCIAL DEMOCRÁTICO
2000;43;PV;PARTIDO VERDE
2000;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
2000;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
2000;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL
2000;65;PC do B;PARTIDO COMUNISTA DO BRASIL
2000;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
2002;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO
2002;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
2002;13;PT;PARTIDO DOS TRABALHADORES
2002;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
2002;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
2002;17;PSL;PARTIDO SOCIAL LIBERAL
2002;18;PST;PARTIDO SOCIAL TRABALHISTA
2002;19;PTN;PARTIDO TRABALHISTA NACIONAL
2002;20;PSC;PARTIDO SOCIAL CRISTÃO
2002;22;PL;PARTIDO LIBERAL
2002;23;PPS;PARTIDO POPULAR SOCIALISTA
2002;25;PFL;PARTIDO DA FRENTE LIBERAL
2002;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO
2002;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
2002;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
2002;30;PGT;PARTIDO GERAL DOS TRABALHADORES
2002;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE
2002;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
2002;36;PTC;PARTIDO TRABALHISTA CRISTÃO
2002;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
2002;41;PSD;PARTIDO SOCIAL DEMOCRÁTICO
2002;43;PV;PARTIDO VERDE
2002;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
2002;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
2002;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL
2002;65;PC do B;PARTIDO COMUNISTA DO BRASIL
2002;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
2004;11;PP;PARTIDO PROGRESSISTA
2004;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
2004;13;PT;PARTIDO DOS TRABALHADORES
2004;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
2004;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
2004;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
2004;17;PSL;PARTIDO SOCIAL LIBERAL
2004;19;PTN;PARTIDO TRABALHISTA NACIONAL
2004;20;PSC;PARTIDO SOCIAL CRISTÃO
2004;21;PCB;PARTIDO COMUNISTA BRASILEIRO
2004;22;PL;PARTIDO LIBERAL
2004;23;PPS;PARTIDO POPULAR SOCIALISTA
2004;25;PFL;PARTIDO DA FRENTE LIBERAL
